recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,0.6666666667,
0.1724137931,0.6250000000,
0.2068965517,0.6666666667,
0.2413793103,0.7000000000,
0.2758620690,0.7272727273,
0.3103448276,0.7500000000,
0.3448275862,0.5882352941,
0.3793103448,0.5500000000,
0.4137931034,0.5714285714,
0.4482758621,0.5000000000,
0.4827586207,0.3888888889,
0.5172413793,0.4054054054,
0.5517241379,0.4102564103,
0.5862068966,0.4250000000,
0.6206896552,0.4390243902,
0.6551724138,0.4222222222,
0.6896551724,0.4347826087,
0.7241379310,0.4038461538,
0.7586206897,0.3283582090,
0.7931034483,0.2804878049,
0.8275862069,0.2790697674,
0.8620689655,0.2551020408,
0.8965517241,0.2015503876,
0.9310344828,0.1626506024,
0.9655172414,0.1176470588,
1.0000000000,0.0688836105,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
