recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,4.0006484698
0.0689655172,1.0000000000,,4.2808048021
0.1034482759,1.0000000000,,4.3572043028
0.1379310345,1.0000000000,,4.4215942283
0.1724137931,1.0000000000,,4.5107495667
0.2068965517,1.0000000000,,4.5190653905
0.2413793103,1.0000000000,,4.6276735720
0.2758620690,0.8888888889,,4.7943520381
0.3103448276,0.9000000000,,4.8203620758
0.3448275862,0.9090909091,,4.8768612654
0.3793103448,0.9166666667,,4.9495517772
0.4137931034,0.6315789474,,5.1609772418
0.4482758621,0.5652173913,,5.2660676989
0.4827586207,0.1842105263,,6.0853722079
0.5172413793,0.1282051282,,6.4234750254
0.5517241379,0.1355932203,,6.4270336633
0.5862068966,0.1259259259,,6.5458438237
0.6206896552,0.1304347826,,6.5593889218
0.6551724138,0.0875576037,,6.9252456338
0.6896551724,0.0904977376,,6.9529681856
0.7241379310,0.0801526718,,7.1276930911
0.7586206897,0.0817843866,,7.1749064400
0.7931034483,0.0631868132,,7.6329254453
0.8275862069,0.0641711230,,7.6585632556
0.8620689655,0.0626566416,,7.7934863932
0.8965517241,0.0620525060,,7.9250925818
0.9310344828,0.0517241379,,8.7313607263
0.9655172414,0.0526315789,,8.8689259175
1.0000000000,0.0535055351,,8.9972834480
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
