recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.3042533979
0.0689655172,1.0000000000,,0.3419691539
0.1034482759,1.0000000000,,0.4316140320
0.1379310345,1.0000000000,,0.4340101097
0.1724137931,1.0000000000,,0.4406618745
0.2068965517,1.0000000000,,0.4613723231
0.2413793103,1.0000000000,,0.4641042821
0.2758620690,1.0000000000,,0.4857411378
0.3103448276,1.0000000000,,0.4919942471
0.3448275862,1.0000000000,,0.4946873042
0.3793103448,1.0000000000,,0.4954124586
0.4137931034,0.8571428571,,0.5558345859
0.4482758621,0.8666666667,,0.5588053042
0.4827586207,0.3888888889,,0.7053587661
0.5172413793,0.3260869565,,0.7705485881
0.5517241379,0.3404255319,,0.7715169444
0.5862068966,0.3269230769,,0.8231215255
0.6206896552,0.2727272727,,0.8788348072
0.6551724138,0.2835820896,,0.8818434551
0.6896551724,0.2222222222,,1.0074392761
0.7241379310,0.2000000000,,1.0575702737
0.7586206897,0.2037037037,,1.0701552282
0.7931034483,0.2072072072,,1.0853766264
0.8275862069,0.2016806723,,1.1258240609
0.8620689655,0.1798561151,,1.2250325998
0.8965517241,0.1214953271,,1.4665451595
0.9310344828,0.0954063604,,1.7160831737
0.9655172414,0.0965517241,,1.7443593141
1.0000000000,0.0816901408,,1.9194323194
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
