recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.1308289779
0.0689655172,1.0000000000,,0.1402135644
0.1034482759,0.6000000000,,0.1840659902
0.1379310345,0.6666666667,,0.1926805328
0.1724137931,0.6250000000,,0.2073618977
0.2068965517,0.6000000000,,0.3001054311
0.2413793103,0.6363636364,,0.3334280392
0.2758620690,0.6666666667,,0.3463850605
0.3103448276,0.4285714286,,0.4209196013
0.3448275862,0.4347826087,,0.4617153426
0.3793103448,0.4583333333,,0.4715399239
0.4137931034,0.4800000000,,0.4725849932
0.4482758621,0.4193548387,,0.5123623241
0.4827586207,0.4242424242,,0.5235944046
0.5172413793,0.3846153846,,0.5788375338
0.5517241379,0.4000000000,,0.5806205658
0.5862068966,0.3863636364,,0.6079478759
0.6206896552,0.3913043478,,0.6228726265
0.6551724138,0.4042553191,,0.6259507318
0.6896551724,0.4166666667,,0.6300742807
0.7241379310,0.4117647059,,0.6641855846
0.7586206897,0.3793103448,,0.7147992160
0.7931034483,0.2072072072,,0.9626425934
0.8275862069,0.2068965517,,0.9661684149
0.8620689655,0.1488095238,,1.0562421561
0.8965517241,0.1340206186,,1.0999779878
0.9310344828,0.1363636364,,1.1146236662
0.9655172414,0.1359223301,,1.1259775250
1.0000000000,0.1035714286,,1.2305769449
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
