recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,5.0590635583
0.0689655172,1.0000000000,,5.9860348024
0.1034482759,1.0000000000,,6.1366359482
0.1379310345,1.0000000000,,6.4574299235
0.1724137931,0.8333333333,,6.7420994093
0.2068965517,0.8571428571,,7.0962280066
0.2413793103,0.7777777778,,8.0090271895
0.2758620690,0.7272727273,,8.1813021714
0.3103448276,0.7500000000,,8.1993702242
0.3448275862,0.7692307692,,8.2602463524
0.3793103448,0.7333333333,,8.4390870904
0.4137931034,0.7058823529,,8.7163693504
0.4482758621,0.6190476190,,8.9032423152
0.4827586207,0.4516129032,,9.2838096517
0.5172413793,0.4687500000,,9.3111912869
0.5517241379,0.4571428571,,9.3530638069
0.5862068966,0.4722222222,,9.3641480528
0.6206896552,0.1475409836,,10.4328092820
0.6551724138,0.1397058824,,10.5279975665
0.6896551724,0.1136363636,,10.8384769553
0.7241379310,0.0909090909,,11.1392346854
0.7586206897,0.0753424658,,11.6867813786
0.7931034483,0.0686567164,,12.1174457853
0.8275862069,0.0697674419,,12.1757089980
0.8620689655,0.0710227273,,12.2654963441
0.8965517241,0.0722222222,,12.3532914464
0.9310344828,0.0737704918,,12.3888333015
0.9655172414,0.0552268245,,15.5823290616
1.0000000000,0.0496575342,,22.1112207505
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
