recall,precision,chance_precision
0.0344827586,0.2500000000,
0.0689655172,0.1538461538,
0.1034482759,0.1875000000,
0.1379310345,0.1818181818,
0.1724137931,0.2000000000,
0.2068965517,0.2307692308,
0.2413793103,0.2592592593,
0.2758620690,0.2758620690,
0.3103448276,0.1730769231,
0.3448275862,0.1851851852,
0.3793103448,0.1964285714,
0.4137931034,0.1846153846,
0.4482758621,0.1911764706,
0.4827586207,0.1917808219,
0.5172413793,0.1578947368,
0.5517241379,0.1441441441,
0.5862068966,0.1307692308,
0.6206896552,0.1132075472,
0.6551724138,0.1005291005,
0.6896551724,0.0823045267,
0.7241379310,0.0780669145,
0.7586206897,0.0780141844,
0.7931034483,0.0795847751,
0.8275862069,0.0819112628,
0.8620689655,0.0841750842,
0.8965517241,0.0684210526,
0.9310344828,0.0671641791,
0.9655172414,0.0525328330,
1.0000000000,0.0500000000,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
