recall,precision,chance_precision
0.0344827586,0.2500000000,
0.0689655172,0.4000000000,
0.1034482759,0.5000000000,
0.1379310345,0.4000000000,
0.1724137931,0.2941176471,
0.2068965517,0.3000000000,
0.2413793103,0.1944444444,
0.2758620690,0.2162162162,
0.3103448276,0.2195121951,
0.3448275862,0.2083333333,
0.3793103448,0.1718750000,
0.4137931034,0.1791044776,
0.4482758621,0.1547619048,
0.4827586207,0.1573033708,
0.5172413793,0.1546391753,
0.5517241379,0.1632653061,
0.5862068966,0.1574074074,
0.6206896552,0.1651376147,
0.6551724138,0.1681415929,
0.6896551724,0.1754385965,
0.7241379310,0.1750000000,
0.7586206897,0.1486486486,
0.7931034483,0.1543624161,
0.8275862069,0.1333333333,
0.8620689655,0.1381215470,
0.8965517241,0.1268292683,
0.9310344828,0.1273584906,
0.9655172414,0.1161825726,
1.0000000000,0.0944625407,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
