recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.5000000000,
0.1034482759,0.6000000000,
0.1379310345,0.5000000000,
0.1724137931,0.5555555556,
0.2068965517,0.5000000000,
0.2413793103,0.4117647059,
0.2758620690,0.4000000000,
0.3103448276,0.3913043478,
0.3448275862,0.3846153846,
0.3793103448,0.3793103448,
0.4137931034,0.2608695652,
0.4482758621,0.2600000000,
0.4827586207,0.2500000000,
0.5172413793,0.2380952381,
0.5517241379,0.1616161616,
0.5862068966,0.1317829457,
0.6206896552,0.1384615385,
0.6551724138,0.1376811594,
0.6896551724,0.1333333333,
0.7241379310,0.1363636364,
0.7586206897,0.1189189189,
0.7931034483,0.0995670996,
0.8275862069,0.0816326531,
0.8620689655,0.0550660793,
0.8965517241,0.0532786885,
0.9310344828,0.0548780488,
0.9655172414,0.0546875000,
1.0000000000,0.0510563380,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
