recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.5000000000,
0.1034482759,0.0810810811,
0.1379310345,0.0952380952,
0.1724137931,0.0892857143,
0.2068965517,0.0909090909,
0.2413793103,0.0945945946,
0.2758620690,0.1038961039,
0.3103448276,0.1071428571,
0.3448275862,0.0787401575,
0.3793103448,0.0625000000,
0.4137931034,0.0508474576,
0.4482758621,0.0539419087,
0.4827586207,0.0466666667,
0.5172413793,0.0408719346,
0.5517241379,0.0380047506,
0.5862068966,0.0368763557,
0.6206896552,0.0383795309,
0.6551724138,0.0400000000,
0.6896551724,0.0398406375,
0.7241379310,0.0413385827,
0.7586206897,0.0423076923,
0.7931034483,0.0439770554,
0.8275862069,0.0453686200,
0.8620689655,0.0448028674,
0.8965517241,0.0465116279,
0.9310344828,0.0481283422,
0.9655172414,0.0492957746,
1.0000000000,0.0506108202,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
