recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,0.6666666667,
0.1724137931,0.7142857143,
0.2068965517,0.6666666667,
0.2413793103,0.5833333333,
0.2758620690,0.6153846154,
0.3103448276,0.6428571429,
0.3448275862,0.5263157895,
0.3793103448,0.4583333333,
0.4137931034,0.4285714286,
0.4482758621,0.4482758621,
0.4827586207,0.4117647059,
0.5172413793,0.4166666667,
0.5517241379,0.4210526316,
0.5862068966,0.4358974359,
0.6206896552,0.4390243902,
0.6551724138,0.4418604651,
0.6896551724,0.3921568627,
0.7241379310,0.4038461538,
0.7586206897,0.2650602410,
0.7931034483,0.2674418605,
0.8275862069,0.2696629213,
0.8620689655,0.2358490566,
0.8965517241,0.1843971631,
0.9310344828,0.1250000000,
0.9655172414,0.0996441281,
1.0000000000,0.0623655914,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
