recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.0211015437
0.0689655172,0.6666666667,,0.0686660515
0.1034482759,0.5000000000,,0.1114108114
0.1379310345,0.3636363636,,0.1414113463
0.1724137931,0.4166666667,,0.1419864824
0.2068965517,0.4000000000,,0.1648304582
0.2413793103,0.4375000000,,0.1658660607
0.2758620690,0.4210526316,,0.1717320592
0.3103448276,0.4500000000,,0.1771321606
0.3448275862,0.3846153846,,0.1887638512
0.3793103448,0.3666666667,,0.1961891511
0.4137931034,0.3870967742,,0.2005349774
0.4482758621,0.2653061224,,0.2656297498
0.4827586207,0.2745098039,,0.2745593856
0.5172413793,0.2500000000,,0.3045736244
0.5517241379,0.2580645161,,0.3118411036
0.5862068966,0.2500000000,,0.3329873223
0.6206896552,0.2117647059,,0.3851283303
0.6551724138,0.2159090909,,0.3877984473
0.6896551724,0.1960784314,,0.4313820618
0.7241379310,0.1794871795,,0.4622792491
0.7586206897,0.1594202899,,0.5022467818
0.7931034483,0.1446540881,,0.5392859074
0.8275862069,0.1387283237,,0.5543587931
0.8620689655,0.1329787234,,0.5699012170
0.8965517241,0.1155555556,,0.6241053795
0.9310344828,0.1088709677,,0.6573035509
0.9655172414,0.0864197531,,0.7664512321
1.0000000000,0.0798898072,,0.8252912246
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
