recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.3552888062
0.0689655172,1.0000000000,,0.4061153598
0.1034482759,1.0000000000,,0.4257811451
0.1379310345,0.8000000000,,0.5148861639
0.1724137931,0.6250000000,,0.5433950407
0.2068965517,0.6666666667,,0.5700106558
0.2413793103,0.7000000000,,0.6578476683
0.2758620690,0.7272727273,,0.6781215106
0.3103448276,0.6428571429,,0.7276906872
0.3448275862,0.5000000000,,0.8882028260
0.3793103448,0.4782608696,,0.8984479502
0.4137931034,0.5000000000,,0.9021175005
0.4482758621,0.5200000000,,0.9366359888
0.4827586207,0.3684210526,,1.1819981383
0.5172413793,0.3846153846,,1.1960676898
0.5517241379,0.3902439024,,1.1968329784
0.5862068966,0.4047619048,,1.2076820235
0.6206896552,0.4186046512,,1.2180174443
0.6551724138,0.4318181818,,1.2194900686
0.6896551724,0.4255319149,,1.2440852537
0.7241379310,0.3750000000,,1.3514371993
0.7586206897,0.2933333333,,1.5364401342
0.7931034483,0.2446808511,,1.5985653029
0.8275862069,0.2500000000,,1.6051925994
0.8620689655,0.2232142857,,1.6409190334
0.8965517241,0.1805555556,,1.7211251948
0.9310344828,0.1179039301,,1.8380065291
0.9655172414,0.1014492754,,1.8874653447
1.0000000000,0.0610526316,,2.1108945951
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
