recall,precision,chance_precision,dist
0.0344827586,0.0033444816,,29.9175109655
0.0689655172,0.0062111801,,30.5038489899
0.1034482759,0.0088757396,,30.9439481092
0.1379310345,0.0108401084,,31.8857297781
0.1724137931,0.0125628141,,32.5629914353
0.2068965517,0.0148883375,,32.6865202068
0.2413793103,0.0171149144,,32.8534527001
0.2758620690,0.0186480186,,33.3217871622
0.3103448276,0.0207373272,,33.4911264457
0.3448275862,0.0213219616,,33.9413260315
0.3793103448,0.0233050847,,33.9802689915
0.4137931034,0.0248962656,,34.0415931821
0.4482758621,0.0264227642,,34.1137353755
0.4827586207,0.0279441118,,34.1600208550
0.5172413793,0.0294695481,,34.1870839682
0.5517241379,0.0312500000,,34.1978658079
0.5862068966,0.0328820116,,34.2089683352
0.6206896552,0.0345489443,,34.2120531714
0.6551724138,0.0363288719,,34.2147210115
0.6896551724,0.0380952381,,34.2161993576
0.7241379310,0.0394736842,,34.2219056506
0.7586206897,0.0412757974,,34.2227763149
0.7931034483,0.0425138632,,34.2264509088
0.8275862069,0.0430107527,,34.2274903854
0.8620689655,0.0440917108,,34.2275751135
0.8965517241,0.0456140351,,34.2276097472
0.9310344828,0.0467937608,,34.2285036477
0.9655172414,0.0481927711,,34.2300595099
1.0000000000,0.0498281787,,34.2305220296
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
