recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.6156013805
0.0689655172,1.0000000000,,0.6689464532
0.1034482759,1.0000000000,,0.7348852162
0.1379310345,1.0000000000,,0.7402694571
0.1724137931,1.0000000000,,0.7512825757
0.2068965517,1.0000000000,,0.7616356553
0.2413793103,1.0000000000,,0.7621172323
0.2758620690,1.0000000000,,0.7714877987
0.3103448276,1.0000000000,,0.7954994713
0.3448275862,1.0000000000,,0.8011162914
0.3793103448,1.0000000000,,0.8115124296
0.4137931034,1.0000000000,,0.8187238434
0.4482758621,1.0000000000,,0.8282802587
0.4827586207,0.3888888889,,0.9870405828
0.5172413793,0.3125000000,,1.0140688105
0.5517241379,0.3200000000,,1.0267098387
0.5862068966,0.2786885246,,1.0588118677
0.6206896552,0.2812500000,,1.0650189158
0.6551724138,0.2676056338,,1.0906735155
0.6896551724,0.2127659574,,1.1464426353
0.7241379310,0.1944444444,,1.1667417742
0.7586206897,0.1964285714,,1.1767652241
0.7931034483,0.1932773109,,1.2002699253
0.8275862069,0.1818181818,,1.2190959303
0.8620689655,0.1838235294,,1.2251660069
0.8965517241,0.1420765027,,1.2916709388
0.9310344828,0.0992647059,,1.3971154830
0.9655172414,0.0972222222,,1.4214268645
1.0000000000,0.0986394558,,1.4251050460
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
