recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.0072424695
0.0689655172,0.5000000000,,0.0695765380
0.1034482759,0.3333333333,,0.1568502524
0.1379310345,0.3076923077,,0.2191599660
0.1724137931,0.3571428571,,0.2211780046
0.2068965517,0.3750000000,,0.2546503100
0.2413793103,0.2916666667,,0.3569764564
0.2758620690,0.2962962963,,0.3745143505
0.3103448276,0.3000000000,,0.4206984987
0.3448275862,0.3125000000,,0.4341430192
0.3793103448,0.3142857143,,0.4587000130
0.4137931034,0.3000000000,,0.5151966167
0.4482758621,0.3170731707,,0.5264003121
0.4827586207,0.3333333333,,0.5371472006
0.5172413793,0.3125000000,,0.5826295254
0.5517241379,0.3200000000,,0.5983857706
0.5862068966,0.3148148148,,0.6322734652
0.6206896552,0.3272727273,,0.6324403741
0.6551724138,0.3275862069,,0.6730745083
0.6896551724,0.3076923077,,0.7474363744
0.7241379310,0.2876712329,,0.7946584652
0.7586206897,0.2750000000,,0.8403762899
0.7931034483,0.2584269663,,0.8646850936
0.8275862069,0.1804511278,,1.0437696432
0.8620689655,0.1612903226,,1.1094047466
0.8965517241,0.1502890173,,1.1676608859
0.9310344828,0.1436170213,,1.1977383753
0.9655172414,0.1255605381,,1.2654841793
1.0000000000,0.1128404669,,1.3208365804
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
