recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.5606294370
0.0689655172,1.0000000000,,0.6106496687
0.1034482759,0.7500000000,,0.6847461096
0.1379310345,0.8000000000,,0.6875821541
0.1724137931,0.8333333333,,0.6939522612
0.2068965517,0.5454545455,,0.8234177526
0.2413793103,0.5000000000,,0.8957202542
0.2758620690,0.3333333333,,1.0284373218
0.3103448276,0.3600000000,,1.0293458975
0.3448275862,0.3703703704,,1.0788242025
0.3793103448,0.3793103448,,1.0972214647
0.4137931034,0.3529411765,,1.1628285654
0.4482758621,0.3421052632,,1.1811572367
0.4827586207,0.3255813953,,1.2259989037
0.5172413793,0.3333333333,,1.2412873230
0.5517241379,0.3333333333,,1.2705526396
0.5862068966,0.3207547170,,1.3105838479
0.6206896552,0.3333333333,,1.3137736667
0.6551724138,0.3392857143,,1.3241165320
0.6896551724,0.3333333333,,1.3627235099
0.7241379310,0.3281250000,,1.4121855624
0.7586206897,0.3235294118,,1.4400410004
0.7931034483,0.3285714286,,1.4779563740
0.8275862069,0.3157894737,,1.5114336866
0.8620689655,0.2155172414,,1.7437562039
0.8965517241,0.2166666667,,1.7713572525
0.9310344828,0.2177419355,,1.7833115030
0.9655172414,0.1618497110,,2.0718366514
1.0000000000,0.1132812500,,2.4845427133
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
